MetaNetX,equation,deltag
MNXR97762; MNXR190944,C00002 + C00882 <=> C00008 + C00010; (1) cpd00002[0] + (1) cpd00655[0] => (1) cpd00008[0] + (1) cpd00010[0] + (1) cpd00067[0],0.57
MNXR105153,C00086 + C00001 <=> C00011 + 2 C00014; (1) cpd00001[0] + (2) cpd00067[0] + (1) cpd00073[0] => (1) cpd00011[0] + (2) cpd00013[0],-7.11
MNXR100482,(1) cpd00067[0] + (1) cpd00242[0] <=> (1) cpd00001[0] + (1) cpd00011[0]; (1) cpd00001[0] + (1) cpd00011[0] <=> (1) cpd00067[0] + (1) cpd00242[0],1.26; -1.26
MNXR106403,(1) cpd00005[0] + (1) cpd00011[0] <= (1) cpd00006[0] + (1) cpd00047[0]; C00058 + C00006 <=> C00011 + C00005 + C00080; (1) cpd00006[0] + (1) cpd00047[0] => (1) cpd00005[0] + (1) cpd00011[0],-3.53; 3.53
MNXR95841,C00002 + C00455 <=> C00013 + C00003; (1) cpd00002[0] + (1) cpd00355[0] <=> (1) cpd00003[0] + (1) cpd00012[0],0.36
MNXR103069,(1) cpd00001[0] + (1) cpd00421[0] <=> (1) cpd00009[0] + (1) cpd00012[0] + (1) cpd00067[0]; C00536 + C00001 <=> C00013 + C00009,10000000.0
MNXR106405,(1) cpd00002[0] + (1) cpd07923[0] <=> (1) cpd00008[0] + (1) cpd07924[0]; C11038 + C00002 <=> C11039 + C00008,0.62
MNXR106406,(1) cpd00008[0] + (1) cpd07923[0] <=> (1) cpd00002[0] + (1) cpd00067[0] + (1) cpd02480[0]; C11038 + C00008 <=> C03997 + C00002,-0.23
MNXR106407,(1) cpd00002[0] + (1) cpd00013[0] <= (1) cpd00008[0] + (2) cpd00067[0] + (1) cpd01551[0]; C00002 + C00014 <=> C00008 + C02306,4.95
MNXR145168; MNXR100556,(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00013[0] <= (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00165[0]; C00014 + C00003 + C00001 <=> C00192 + C00004 + C00080,22.97
MNXR146860,(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd03077[0] => (1) cpd00004[0] + (1) cpd00013[0] + (1) cpd00067[0] + (1) cpd11625[0]; C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080,10000000.0
MNXR146862,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd03077[0] => (1) cpd00005[0] + (1) cpd00013[0] + (1) cpd00067[0] + (1) cpd11625[0]; C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080,10000000.0
MNXR143456,(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd11665[0] => (1) cpd00001[0] + (1) cpd00067[0] + (1) cpd00165[0] + (1) cpd11669[0]; C00014 + C00007 + C00390 <=> C00192 + C00001 + C00399,10000000.0
MNXR96884,2 C00002 + C00014 + C00011 + C00001 <=> 2 C00008 + C00009 + C00169; (1) cpd00001[0] + (2) cpd00002[0] + (1) cpd00011[0] + (1) cpd00013[0] => (2) cpd00008[0] + (1) cpd00009[0] + (3) cpd00067[0] + (1) cpd00146[0],0.14
MNXR153144; MNXR96482,(1) cpd00002[0] + (1) cpd00011[0] + (1) cpd00013[0] <= (1) cpd00008[0] + (2) cpd00067[0] + (1) cpd00146[0]; (1) cpd00002[0] + (1) cpd00011[0] + (1) cpd00013[0] <=> (1) cpd00008[0] + (2) cpd00067[0] + (1) cpd00146[0]; C00002 + C00014 + C00288 <=> C00008 + C00169 + C00001,6.3
MNXR106411,(1) cpd00011[0] + (1) cpd00013[0] <=> (1) cpd00150[0]; C01326 + 2 C00001 <=> C00014 + C00058; (2) cpd00001[0] + (1) cpd00150[0] <=> (1) cpd00013[0] + (1) cpd00047[0],10000000.0
MNXR106412,(4) cpd00067[0] + (1) cpd03177[0] + (2) cpd12713[0] => (2) cpd00013[0]; C05361 + 2 C05359 + 2 C00080 <=> 2 C00014,10000000.0
MNXR101931; MNXR188497,(1) cpd00001[0] + (1) cpd00014[0] => (1) cpd00009[0] + (2) cpd00067[0] + (1) cpd00091[0]; C00015 + C00001 <=> C00105 + C00009,-5.03
MNXR188501; MNXR101935,(1) cpd00002[0] + (1) cpd00014[0] <=> (1) cpd00008[0] + (1) cpd00062[0]; C00002 + C00015 <=> C00008 + C00075,-0.68
MNXR106413,C00075 + C00020 <=> C00015 + C00008; (1) cpd00018[0] + (1) cpd00062[0] + (1) cpd00067[0] <=> (1) cpd00008[0] + (1) cpd00014[0],0.25
MNXR105118; MNXR188974,C00002 + C00105 <=> C00008 + C00015; (1) cpd00002[0] + (1) cpd00067[0] + (1) cpd00091[0] <=> (1) cpd00008[0] + (1) cpd00014[0],-1.13
MNXR188499; MNXR101933,(1) cpd00001[0] + (1) cpd00062[0] => (1) cpd00009[0] + (1) cpd00014[0] + (1) cpd00067[0]; C00075 + C00001 <=> C00015 + C00009,-5.48
MNXR192648; MNXR99209,(1) cpd00001[0] + (1) cpd00015[0] => (1) cpd00018[0] + (1) cpd00050[0] + (2) cpd00067[0]; C00016 + C00001 <=> C00020 + C00061,-5.35
MNXR95501; MNXR192638,(1) cpd00002[0] + (1) cpd00050[0] <=> (1) cpd00012[0] + (1) cpd00015[0]; C00002 + C00061 <=> C00013 + C00016,-3.08
MNXR146864,(1) cpd00002[0] + (1) cpd11463[0] <=> (1) cpd00008[0] + (1) cpd11698[0]; C00002 + C00017 <=> C00008 + C00562,10000000.0
MNXR146867,C00562 + C00001 <=> C00017 + C00009; (1) cpd00001[0] + (1) cpd11698[0] <=> (1) cpd00009[0] + (1) cpd11463[0],10000000.0
MNXR146870,(1) cpd11463[0] <=> (1) cpd11770[0]; C00017 <=> C00886,10000000.0
MNXR146872,(1) cpd11463[0] => (1) cpd12003[0]; C00017 <=> C02047,10000000.0
MNXR106418,(1) cpd12036[0] <= (1) cpd11710[0]; C02163 <=> C00613,10000000.0
MNXR146874,C00017 <=> C02554; (1) cpd11463[0] => (1) cpd12133[0],10000000.0
MNXR146876,C00017 <=> C02987; (1) cpd11463[0] => (1) cpd12227[0],10000000.0
MNXR146878,(1) cpd11463[0] => (1) cpd12256[0]; C00017 <=> C03127,10000000.0
MNXR146880,C00017 <=> C05336; (1) cpd11463[0] <=> (1) cpd12704[0],10000000.0
